played_on,competition,competition_edition,round_name,team_a,team_b,winner_team,sequence_number,team_name,player_name,goalkeeper_name,outcome,source_provider,source_url,source_row_key,retrieved_at_utc
2025-03-23,UEFA Nations League,2024/25,Quarter-final,Netherlands,Spain,Spain,1,Netherlands,Virgil van Dijk,,scored,espn,https://www.espn.com/soccer/match/_/gameId/723708,espn:723708:44925067,2026-06-30T12:00:00+00:00
2025-03-23,UEFA Nations League,2024/25,Quarter-final,Netherlands,Spain,Spain,2,Spain,Mikel Merino,,scored,espn,https://www.espn.com/soccer/match/_/gameId/723708,espn:723708:44925072,2026-06-30T12:00:00+00:00
2025-03-23,UEFA Nations League,2024/25,Quarter-final,Netherlands,Spain,Spain,3,Netherlands,Teun Koopmeiners,,scored,espn,https://www.espn.com/soccer/match/_/gameId/723708,espn:723708:44925080,2026-06-30T12:00:00+00:00
2025-03-23,UEFA Nations League,2024/25,Quarter-final,Netherlands,Spain,Spain,4,Spain,Ferran Torres,,scored,espn,https://www.espn.com/soccer/match/_/gameId/723708,espn:723708:44925090,2026-06-30T12:00:00+00:00
2025-03-23,UEFA Nations League,2024/25,Quarter-final,Netherlands,Spain,Spain,5,Netherlands,Xavi Simons,,scored,espn,https://www.espn.com/soccer/match/_/gameId/723708,espn:723708:44925097,2026-06-30T12:00:00+00:00
2025-03-23,UEFA Nations League,2024/25,Quarter-final,Netherlands,Spain,Spain,6,Spain,Aleix García,,scored,espn,https://www.espn.com/soccer/match/_/gameId/723708,espn:723708:44925108,2026-06-30T12:00:00+00:00
2025-03-23,UEFA Nations League,2024/25,Quarter-final,Netherlands,Spain,Spain,7,Netherlands,Noa Lang,,missed,espn,https://www.espn.com/soccer/match/_/gameId/723708,espn:723708:44925115,2026-06-30T12:00:00+00:00
2025-03-23,UEFA Nations League,2024/25,Quarter-final,Netherlands,Spain,Spain,8,Spain,Lamine Yamal,,missed,espn,https://www.espn.com/soccer/match/_/gameId/723708,espn:723708:44925121,2026-06-30T12:00:00+00:00
2025-03-23,UEFA Nations League,2024/25,Quarter-final,Netherlands,Spain,Spain,9,Netherlands,Kenneth Taylor,,scored,espn,https://www.espn.com/soccer/match/_/gameId/723708,espn:723708:44925132,2026-06-30T12:00:00+00:00
2025-03-23,UEFA Nations League,2024/25,Quarter-final,Netherlands,Spain,Spain,10,Spain,Álex Baena,,scored,espn,https://www.espn.com/soccer/match/_/gameId/723708,espn:723708:44925143,2026-06-30T12:00:00+00:00
2025-03-23,UEFA Nations League,2024/25,Quarter-final,Netherlands,Spain,Spain,11,Netherlands,Donyell Malen,,missed,espn,https://www.espn.com/soccer/match/_/gameId/723708,espn:723708:44925149,2026-06-30T12:00:00+00:00
2025-03-23,UEFA Nations League,2024/25,Quarter-final,Netherlands,Spain,Spain,12,Spain,Pedri,,scored,espn,https://www.espn.com/soccer/match/_/gameId/723708,espn:723708:44925152,2026-06-30T12:00:00+00:00
2025-06-08,UEFA Nations League,2024/25,Final,Spain,Portugal,Portugal,1,Portugal,Gonçalo Ramos,,scored,espn,https://www.espn.com/soccer/match/_/gameId/723738,espn:723738:45365424,2026-06-30T12:00:00+00:00
2025-06-08,UEFA Nations League,2024/25,Final,Spain,Portugal,Portugal,2,Spain,Mikel Merino,,scored,espn,https://www.espn.com/soccer/match/_/gameId/723738,espn:723738:45365431,2026-06-30T12:00:00+00:00
2025-06-08,UEFA Nations League,2024/25,Final,Spain,Portugal,Portugal,3,Portugal,Vitinha,,scored,espn,https://www.espn.com/soccer/match/_/gameId/723738,espn:723738:45365437,2026-06-30T12:00:00+00:00
2025-06-08,UEFA Nations League,2024/25,Final,Spain,Portugal,Portugal,4,Spain,Álex Baena,,scored,espn,https://www.espn.com/soccer/match/_/gameId/723738,espn:723738:45365442,2026-06-30T12:00:00+00:00
2025-06-08,UEFA Nations League,2024/25,Final,Spain,Portugal,Portugal,5,Portugal,Bruno Fernandes,,scored,espn,https://www.espn.com/soccer/match/_/gameId/723738,espn:723738:45365450,2026-06-30T12:00:00+00:00
2025-06-08,UEFA Nations League,2024/25,Final,Spain,Portugal,Portugal,6,Spain,Isco,,scored,espn,https://www.espn.com/soccer/match/_/gameId/723738,espn:723738:45365454,2026-06-30T12:00:00+00:00
2025-06-08,UEFA Nations League,2024/25,Final,Spain,Portugal,Portugal,7,Portugal,Nuno Mendes,,scored,espn,https://www.espn.com/soccer/match/_/gameId/723738,espn:723738:45365458,2026-06-30T12:00:00+00:00
2025-06-08,UEFA Nations League,2024/25,Final,Spain,Portugal,Portugal,8,Spain,Álvaro Morata,,missed,espn,https://www.espn.com/soccer/match/_/gameId/723738,espn:723738:45365461,2026-06-30T12:00:00+00:00
2025-06-08,UEFA Nations League,2024/25,Final,Spain,Portugal,Portugal,9,Portugal,Rúben Neves,,scored,espn,https://www.espn.com/soccer/match/_/gameId/723738,espn:723738:45365474,2026-06-30T12:00:00+00:00
2024-07-01,EURO,2024,Round of 16,Portugal,Slovenia,Portugal,1,Slovenia,Josip Ilicic,,missed,espn,https://www.espn.com/soccer/match/_/gameId/703936,espn:703936:43365810,2026-06-30T12:00:00+00:00
2024-07-01,EURO,2024,Round of 16,Portugal,Slovenia,Portugal,2,Portugal,Cristiano Ronaldo,,scored,espn,https://www.espn.com/soccer/match/_/gameId/703936,espn:703936:43365811,2026-06-30T12:00:00+00:00
2024-07-01,EURO,2024,Round of 16,Portugal,Slovenia,Portugal,3,Slovenia,Jure Balkovec,,missed,espn,https://www.espn.com/soccer/match/_/gameId/703936,espn:703936:43365812,2026-06-30T12:00:00+00:00
2024-07-01,EURO,2024,Round of 16,Portugal,Slovenia,Portugal,4,Portugal,Bruno Fernandes,,scored,espn,https://www.espn.com/soccer/match/_/gameId/703936,espn:703936:43365813,2026-06-30T12:00:00+00:00
2024-07-01,EURO,2024,Round of 16,Portugal,Slovenia,Portugal,5,Slovenia,Benjamin Verbic,,missed,espn,https://www.espn.com/soccer/match/_/gameId/703936,espn:703936:43365814,2026-06-30T12:00:00+00:00
2024-07-01,EURO,2024,Round of 16,Portugal,Slovenia,Portugal,6,Portugal,Bernardo Silva,,scored,espn,https://www.espn.com/soccer/match/_/gameId/703936,espn:703936:43365815,2026-06-30T12:00:00+00:00
2024-07-05,EURO,2024,Quarter-final,Portugal,France,France,1,France,Ousmane Dembélé,,scored,espn,https://www.espn.com/soccer/match/_/gameId/703940,espn:703940:43374478,2026-06-30T12:00:00+00:00
2024-07-05,EURO,2024,Quarter-final,Portugal,France,France,2,Portugal,Cristiano Ronaldo,,scored,espn,https://www.espn.com/soccer/match/_/gameId/703940,espn:703940:43374479,2026-06-30T12:00:00+00:00
2024-07-05,EURO,2024,Quarter-final,Portugal,France,France,3,France,Youssouf Fofana,,scored,espn,https://www.espn.com/soccer/match/_/gameId/703940,espn:703940:43374480,2026-06-30T12:00:00+00:00
2024-07-05,EURO,2024,Quarter-final,Portugal,France,France,4,Portugal,Bernardo Silva,,scored,espn,https://www.espn.com/soccer/match/_/gameId/703940,espn:703940:43374481,2026-06-30T12:00:00+00:00
2024-07-05,EURO,2024,Quarter-final,Portugal,France,France,5,France,Jules Koundé,,scored,espn,https://www.espn.com/soccer/match/_/gameId/703940,espn:703940:43374482,2026-06-30T12:00:00+00:00
2024-07-05,EURO,2024,Quarter-final,Portugal,France,France,6,Portugal,João Félix,,missed,espn,https://www.espn.com/soccer/match/_/gameId/703940,espn:703940:43374483,2026-06-30T12:00:00+00:00
2024-07-05,EURO,2024,Quarter-final,Portugal,France,France,7,France,Bradley Barcola,,scored,espn,https://www.espn.com/soccer/match/_/gameId/703940,espn:703940:43374484,2026-06-30T12:00:00+00:00
